species	dsGFP_1	dsGFP_2	dsGFP_3	dsGFP_5	dsCDC9_2	dsCDC9_3	dsCDC9_4	dsCDC9_5
Pantoea_sp_B623	111847973	93648754	106388673	95359772	53507560	446321197	941274139	290830416
Pantoea_sp_EABMAA_21	13807107	3930548	15989300	17165277	7416417	63261422	105603013	54457130
Pantoea_sp_JKS000250	1147382	0	3490961	4690690	1312069	20604638	44130518	21795544
Pantoea_sp_JZ2	137214126	107465722	159522185	204513616	85840330	910635908	1576108288	452331336
Pantoea_sp_JZ29	9053599	2663567	6517690	5635639	1891266	32415594	48000404	6279055
Pantoea_sp_OXWO6B1	140404470	108405935	221857600	210537603	107547760	1005747983	1906637328	539793993
Pantoea_sp_PNA_03_3	14551823	15967890	22499413	53102653	8565442	139617914	193106028	135476705
Pantoea_sp_QMID1	429478966	763799549	137757428	308856676	567808761	441541082	875504111	1614843910
Pantoea_sp_RSPAM1	20367005877	25018355008	25288944889	27170640238	12507731000	1.22E+11	2.22E+11	76091477547
Pantoea_sp_S62	48957848	37421627	43327824	51101602	19710495	225099043	389529319	175124199
Pantoea_sp_SJZ147	1583474	0	266224	0	516095	1088630	8280724	0
Pantoea_sp_V106_11	3803779	639019	4417903	5009690	1753953	25897401	46578061	19216981
Pantoea_sp_V108_6	79529130	65228868	105748489	114749409	54130040	559789132	1012877838	378521783
Pantoea_sp_VS1	57225029	66886795	88765369	119604297	37958337	464450070	867064697	148593105
Pantoea_sp_YU22	4029424	6377899	19242476	10903019	10212760	87738191	169024482	66192806
unclassified_Pantoea	511702475	461323542	716189621	787197672	315002767	3640255582	6741358606	1597656483
Hafnia_psychrotolerans	0	0	1021780	0	0	0	0	0
Serratia_sp_Lou2A	11998984	0	0	0	0	0	0	0
unclassified_Enterobacterales	20327354	23100260	29380788	38731745	11980204	143363929	254522580	105364031
Aquicella_siphonis	1037091	2544870	0	819190	680858	720041	2148973	4463634
Methylococcaceae_bacterium_CS4	8430614	28062445	2376035	2497235	3170750	2768165	5507964	19423058
Acinetobacter_genomosp_33YU	0	0	0	0	108086113	0	0	8485093
Acinetobacter_gerneri	1988152	0	0	0	0	0	1006855	0
Acinetobacter_kanungonis	0	0	0	0	301721	0	0	0
Acinetobacter_sp_1396970	37381709	28241018	37519686	42227085	325490993	170464611	313373558	84897533
Acinetobacter_sp_ACZLY_512	3906064	17366363	6552036	220248967	1.27E+11	52868455	83486268	40895361
Acinetobacter_sp_ANC_5045	0	0	0	2131887	1998996714	920769	0	1446456
Acinetobacter_sp_C15	0	0	0	245993	236233573	0	0	0
Acinetobacter_sp_UGAL515B_02	0	0	0	372359	180915040	0	0	0
